numreviews,rating,title,types
6,4,Giuseppe Verdi Monument,Sights & Landmarks Monuments & Statues
5,5,Harlem Repertory Theatre,Concerts & Shows Theaters
3,4,Sky Rink At Chelsea Piers,Fun & Games Sports Complexes
3,4.5,East 72nd Street Playground,Nature & Parks Fun & Games
2,5,Harlem School of the Arts,Concerts & Shows Theaters
2,5,Madison Avenue Presbyterian Church,Sights & Landmarks Churches & Cathedrals
3,3.5,Lumas New York - SoHo,Shopping Museums
2,5,The Actors Temple Theater,Concerts & Shows Theaters
1,5,Goethe Institut New York,Museums History Museums
2,4.5,National Black Theatre Institute of Action Arts,Concerts & Shows Theaters
4,3.5,Marlborough Gallery,Shopping Museums
3,4.5,SohoPhoto Gallery,Museums Shopping
2,4.5,Dia:Chelsea,Museums Art Museums
2,4.5,Convene,Traveler Resources Conference & Convention Centers
4,4,"Firehouse, Engine Company 31",Sights & Landmarks Architectural Buildings
2,5,Evangelical Lutheran Church Of The Holy Trinity,Sights & Landmarks Churches & Cathedrals
3,5,The Paul Nicklen Gallery,Museums Shopping
3,4.5,Chelsea Art Museum,Museums Art Museums
6,4,Shrine of Frances Xavier Cabrini,Sights & Landmarks Sacred & Religious Sites
7,4.5,The Garden at St. Lukes in the Fields,Nature & Parks Gardens
5,4,Firemen's Memorial,Sights & Landmarks Points of Interest & Landmarks
4,4,Colden Center for the Performing Arts,Concerts & Shows Theaters
3,5,Police Academy Museum,Museums Specialty Museums
1,5,NYFD Engine 55,Sights & Landmarks Government Buildings
4,4.5,TADA! Youth Theater,Concerts & Shows Theaters
2,4.5,Graybar Electric Building (Graybar Rats),Sights & Landmarks Architectural Buildings
1,5,Statue of Peter Stuyvesant,Sights & Landmarks Monuments & Statues
2,3,Dahesh Museum of Art,Museums Art Museums
13,4,William Jenkins Worth Monument,Sights & Landmarks Monuments & Statues
1,5,Jan Karski Statue,Sights & Landmarks Monuments & Statues
3,5,The Classical Theatre of Harlem,Concerts & Shows Theaters
4,4,New York Unearthed,Sights & Landmarks Historic Sites
5,5,Lilac Gallery,Shopping Museums
1,5,Albert's Garden,Nature & Parks Gardens
3,4,Colonnade Row,Sights & Landmarks Architectural Buildings
3,4,Smorgasburg WTC,Shopping Flea & Street Markets
2,3.5,New York Telephone Company Building,Sights & Landmarks Architectural Buildings
1,5,Kadampa Meditation Center New York City,Sights & Landmarks Sacred & Religious Sites
1,5,Audubon Mural Project,Sights & Landmarks Points of Interest & Landmarks
8,4.5,The New Theater at 45th Street - Around the World in 80 Days,Concerts & Shows Theaters
2,5,The Playroom NYC,Nature & Parks Fun & Games
4,4.5,American Immigrant Wall of Honor,Sights & Landmarks Monuments & Statues
3,5,Corpus Christi Church,Sights & Landmarks Sacred & Religious Sites
1,5,The Ark of Return,Sights & Landmarks Points of Interest & Landmarks
4,5,New York Classical Theatre,Concerts & Shows Theaters
11,4,Gotham Carriages,Sights & Landmarks Points of Interest & Landmarks
3,4.5,Franklin Bowles Gallery NYC,Sights & Landmarks Points of Interest & Landmarks
2,4.5,Calvary-St. George,Sights & Landmarks Churches & Cathedrals
2,3.5,Chelsea Antiques Building,Shopping Shopping Malls
2,4,Beethoven Bust,Sights & Landmarks Monuments & Statues
4,3,Dempsey Theater,Concerts & Shows Theaters
1,5,ATM Gallery,Shopping Museums
2,4,Episcopal Church Center,Sights & Landmarks Churches & Cathedrals
2,4.5,Galerie Lelong,Museums Shopping
4,5,The Renee and Chaim Gross Foundation,Museums Specialty Museums
1,5,Sylvan Terrace,Sights & Landmarks Points of Interest & Landmarks
3,3.5,Fordham University,Sights & Landmarks Universities & Schools
3,4.5,Liberty Theater,Concerts & Shows Theaters
2,2.5,American Numismatic Society,Museums Specialty Museums
4,4,East River Roundabout,Sights & Landmarks Monuments & Statues
1,5,Authentiques Past & Present,Shopping Antique Stores
1,5,House of Morgan,Sights & Landmarks Architectural Buildings
4,3.5,Pace Wildenstein - 25 St,Museums Shopping
27,4.5,Trip to Bountiful,Sights & Landmarks Points of Interest & Landmarks
1,5,American Academy of Arts and Letters,Museums Specialty Museums
1,4,Ronin Gallery,Shopping Museums
1,5,Richard Taittinger Gallery,Shopping Museums
2,2.5,Kenneth W. Rendell Gallery,Shopping Museums
1,5,The Brant Foundation,Shopping Museums
1,5,Sky Theater,Museums Observatories & Planetariums
2,4.5,Theatre Row,Concerts & Shows Theaters
2,5,Nice Price/SSS Sample Sale,Shopping Factory Outlets
2,4,Saint Paul Baptist Church,Sights & Landmarks Churches & Cathedrals
2,5,New Amsterdam Market,Shopping Flea & Street Markets
1,5,Western Union Building,Sights & Landmarks Historic Sites
5,4,Samuel J. Friedman Theatre,Concerts & Shows Theaters
1,5,Pixinity,Museums Specialty Museums
2,4,Indian Hunter,Sights & Landmarks Monuments & Statues
2,4,Washington Mews,Sights & Landmarks Points of Interest & Landmarks
1,5,Everett Children's Adventure Garden,Nature & Parks Gardens
1,5,69th Regiment Armory,Sights & Landmarks Historic Sites
3,3.5,City Lore Gallery,Shopping Museums
2,4,Broadway Roulette,Concerts & Shows Theaters
1,5,Skinova Medspa New York,Classes & Workshops Outdoor Activities
3,5,Lik Soho,Shopping Museums
1,5,Our/New York Vodka,Food & Drink Distilleries
2,3.5,Sean Kelly,Museums Shopping
3,5,Dicapo Opera Theatre,Concerts & Shows Theaters
2,4.5,Adam Baumgold Gallery,Sights & Landmarks Points of Interest & Landmarks
2,5,UBS Art Gallery,Museums Shopping
1,5,The New York Times Food Festival,Events Food & Drink Festivals
1,5,7th Regiment Memorial,Sights & Landmarks Architectural Buildings
4,5,Church of Our Lady of Mount Carmel,Sights & Landmarks Churches & Cathedrals
1,4,Eden Fine Art Gallery,Museums Shopping
1,5,Artechouse NYC,Museums Specialty Museums
1,4,The Arsenal,Sights & Landmarks Points of Interest & Landmarks
2,4.5,Dwyer Cultural Center,Museums Specialty Museums
1,5,Soho Rep,Concerts & Shows Theaters
3,4,Storefront for Art and Architecture,Museums Shopping
1,4,Osmos Gallery,Museums Shopping
1,5,Gene Frankel Theater,Concerts & Shows Theaters
3,3,Daniel Webster Monument,Sights & Landmarks Monuments & Statues
1,5,Avant Gallery,Sights & Landmarks Points of Interest & Landmarks
2,3,A La Vieille Russie,Shopping Museums
4,4.5,The Flea,Concerts & Shows Theaters
2,3,Kush Fine Art Gallery,Museums Shopping
2,4,Montserrat Gallery,Shopping Museums
2,3.5,First Chinese Presbyterian Church of New York City,Sights & Landmarks Churches & Cathedrals
1,4,Manhattan Repertory Theatre,Concerts & Shows Theaters
4,4.5,St. Francis de Sales Church,Sights & Landmarks Churches & Cathedrals
2,3.5,The Carlebach Shul,Sights & Landmarks Points of Interest & Landmarks
1,4,Americas Society,Sights & Landmarks Government Buildings
1,4,New York City Marble Cemetery,Sights & Landmarks Cemeteries
1,4,City Hall Library,Traveler Resources Libraries
1,4,Queen Elizabeth II Garden,Nature & Parks Gardens
1,5,Medicine Show Theatre,Concerts & Shows Theaters
2,3.5,Sir Walter Scott Monument,Sights & Landmarks Monuments & Statues
2,4.5,Heller Gallery,Shopping Museums
5,4,Kerr Theater Forever Tango,Concerts & Shows Theaters
18,4,This is Our Youth - Cort Theatre,Concerts & Shows Theaters
1,5,Vieira Coins & Collectibles,Shopping Antique Stores
2,5,"William Secord Gallery, Inc.",Shopping Museums
1,4,Kentshire Galleries,Shopping Antique Stores
1,4,St. Anthony of Padua,Sights & Landmarks Churches & Cathedrals
5,4.5,Cakeshop,Concerts & Shows Theaters
1,4,Able Fine Art,Shopping Museums
1,4,DC Moore Gallery,Shopping Museums
8,4,Stage 72,Concerts & Shows Theaters
3,3.5,Park Avenue Christian Church,Sights & Landmarks Churches & Cathedrals
1,4,Ace,Shopping Museums
1,5,Soho Triad Fine Arts Gallery,Shopping Museums
1,5,Gray & Davis: Antique and Custom Jewelry,Shopping Antique Stores
1,5,13th Street Repertory Theatre,Concerts & Shows Theaters
1,3,The Times Center,Sights & Landmarks Civic Centers
1,4,Black Gotham Experience Work / Space,Museums Shopping
3,3,McCaffery Playground,Fun & Games Nature & Parks
1,4,St. Paul & St. Andrew United Methodist Church,Sights & Landmarks Churches & Cathedrals
2,4.5,Alex Adam Gallery,Shopping Museums
1,4,"First Church of Christ, Scientist",Sights & Landmarks Sacred & Religious Sites
1,4,Di Donna Galleries,Shopping Museums
1,4,St. Catherine's Park,Nature & Parks Fun & Games
2,3.5,Robert Burns Monument,Sights & Landmarks Monuments & Statues
1,5,Pen and Brush,Museums Shopping
2,3.5,Lilac,Museums Sights & Landmarks
2,4.5,AXA Gallery,Museums Shopping
1,4,Anastasia Photo,Museums Shopping
1,5,Martayan Lan Antique Maps,Shopping Museums
1,4,Langon Chapel,Sights & Landmarks Sacred & Religious Sites
1,4,Julie's vintage,Shopping Antique Stores
1,4,Guardian Angel Church,Sights & Landmarks Sacred & Religious Sites
3,3,Equitable Gallery,Museums Shopping
1,4,Provincetown Playhouse,Sights & Landmarks Historic Sites
1,5,Cheim & Read,Shopping Museums
2,3,The Falconer,Sights & Landmarks Monuments & Statues
2,4,Hall of the Universe,Museums Natural History Museums
2,2,Tuscan Square,Shopping Shopping Malls
1,5,SUMO,Sights & Landmarks Points of Interest & Landmarks
1,4,Picasso's Bust of Sylvette,Sights & Landmarks Monuments & Statues
3,4,Crystal District,Sights & Landmarks Neighborhoods
1,3,Harriet Tubman Memorial,Sights & Landmarks Monuments & Statues
1,3,BCRE 15 Union Square,Sights & Landmarks Architectural Buildings
1,2,Joyce Kilmer Park,Fun & Games Nature & Parks
2,1,Broadway.com,Concerts & Shows Theaters
1,4,Lewis G Morris House,Sights & Landmarks Historic Walking Areas
1,3,Eagles and Prey Monument,Sights & Landmarks Monuments & Statues
2,5,The Gym at Judson,Concerts & Shows Theaters
1,4,The Chernuchin Theatre,Concerts & Shows Theaters
1,5,The Jewish Theological Seminary,Sights & Landmarks Educational sites
1,3,Croatian Church New York - Sts. Cyril & Methodius & St. Raphael RCC,Sights & Landmarks Churches & Cathedrals
1,3,Five Below,Shopping Department Stores
1,5,Fredrick Malle,Shopping Shopping Malls
1,5,Hasted Kraeutler Gallery,Shopping Museums
1,5,Theatre Bedlam,Concerts & Shows Theaters
1,4,Edward Tyler Nahem Fine Art,Sights & Landmarks Points of Interest & Landmarks
1,4,OK Harris,Shopping Museums
2,4,Tudor Grove Playground,Fun & Games Nature & Parks
1,5,Metropolitan Playhouse,Concerts & Shows Theaters
1,4,Opera Gallery New York,Museums Shopping
1,1,Art D'Aurelle,Shopping Museums
1,5,Edwynn Houk,Shopping Museums
1,4,Immanuel Lutheran Church,Sights & Landmarks Churches & Cathedrals
2,5,The Center for Book Arts,Shopping Museums
1,5,Children's Galleries for Jewish Culture,Museums Children's Museums
1,4,Eighteen Mile Creek,Nature & Parks Bodies of Water
1,5,Charles A Dana Discovery Center,Museums Specialty Museums
0,0,Danny Smith,Classes & Workshops Outdoor Activities
0,0,Audrey Hepburn Mural,Sights & Landmarks Points of Interest & Landmarks
0,0,Vintry Fine Wines,Food & Drink Wineries & Vineyards
1,5,"Rubenstein Communications, Inc.",Sights & Landmarks Points of Interest & Landmarks
0,0,Stride Arts,Museums Shopping
0,0,Vanderbilt Parkway,Sights & Landmarks Points of Interest & Landmarks
0,0,Alex Eml,Classes & Workshops Outdoor Activities
0,0,Black Box,Traveler Resources Conference & Convention Centers
0,0,Shadrina Anna,Outdoor Activities Classes & Workshops
0,0,Naked & Famous Denim,Shopping Department Stores
0,0,Chelsea Green,Fun & Games Nature & Parks
0,0,Park Avenue Viaduct,Sights & Landmarks Historic Sites
0,0,Barney Savage Gallery,Museums Shopping
0,0,56 Leonard,Sights & Landmarks Architectural Buildings
0,0,Demon Leg,Shopping Museums
0,0,Caveat,Concerts & Shows Theaters
0,0,Artist and Fleas,Shopping Shopping Malls
0,0,Surf Skate Fitness,Outdoor Activities Classes & Workshops
0,0,Front Room Gallery,Shopping Museums
0,0,Port Authority Bus Terminal,Transportation Mass Transportation Systems
0,0,Fascinating Diamonds,Shopping Antique Stores
0,0,Tatiana Pages Gallery,Sights & Landmarks Points of Interest & Landmarks
1,2,Pearl River Mart,Shopping Flea & Street Markets
1,3,The Unbrunch,Concerts & Shows Theaters
1,3,Vessel,Sights & Landmarks Observation Decks & Towers
1,3,Saint Ignatius of Antioch Episcopal Church,Sights & Landmarks Churches & Cathedrals
0,0,Ico Gallery,Museums Shopping
0,0,Lyons Wier Gallery,Museums Shopping
0,0,Stage Left Studio,Concerts & Shows Theaters
0,0,Ana Tzarev Gallery,Shopping Museums
0,0,Hixenbaugh Ancient Art,Shopping Sights & Landmarks
0,0,VolaVida Gallery,Museums Shopping
0,0,Catinca Tabacaru Gallery,Museums Art Museums
0,0,FitzGerald Fine Arts,Museums Art Museums
0,0,Rennert's Gallery,Museums Sights & Landmarks
0,0,"Joseph K. Levene Fine Art, Ltd.",Museums Shopping
0,0,Ensemble Studio Theatre,Concerts & Shows Theaters
0,0,Claire Tow Theatre LCT3,Concerts & Shows Theaters
0,0,Claire Tow Theatre,Concerts & Shows Theaters
0,0,Wanderlust,Museums Specialty Museums
0,0,Wood Floor Master,Shopping Antique Stores
0,0,Howl! Happening,Shopping Museums
0,0,Chesterfield Gallery,Museums Shopping
0,0,Alice's Garden,Nature & Parks Gardens
0,0,Custom Tassels and Trimmings,Sights & Landmarks Points of Interest & Landmarks
0,0,The Compleat Sculptor,Shopping Museums
0,0,Enid A. Haupt Glass Garden,Nature & Parks Gardens
0,0,Long Gallery Harlem,Shopping Museums
0,0,Elecktra Theater,Sights & Landmarks Points of Interest & Landmarks
0,0,Derek Eller Gallery,Shopping Museums
0,0,Rachel Uffner,Shopping Museums
0,0,Lehmann Maupin,Shopping Museums
0,0,Johannes Vogt Gallery,Museums Shopping
0,0,Dances of Vice,Concerts & Shows Cabarets
0,0,MEN Gallery,Museums Shopping
3,5,Bruce Reynold’s Garden,Nature & Parks Gardens
2,3.5,Abrons Art Center,Concerts & Shows Theaters
1,5,Dance Theater Workshop (DTW),Concerts & Shows Theaters
2,4,Rattlestick Playwrights Theater,Concerts & Shows Theaters
0,0,Margo Feiden Galleries Ltd,Shopping Museums
1,4,High Line,Fun & Games Nature & Parks
1,4,Manhattanhenge,Events Exhibitions
1,4,Schermerhorn Building,Sights & Landmarks Points of Interest & Landmarks
1,5,Webster Library,Traveler Resources Libraries
3,4.5,Midtown Theater,Concerts & Shows Theaters
1,5,Paula Cooper Gallery,Shopping Museums
1,2,The Balcony Theater,Concerts & Shows Theaters
1,4,5 th Avenue,Sights & Landmarks Neighborhoods
3,4.5,Anderson Cooper Tv Show,Concerts & Shows Theaters
3,3.5,Lynn Redgrave Theater,Concerts & Shows Theaters
3,5,Momenta Art,Shopping Museums
1,5,Church of the Covenant,Sights & Landmarks Churches & Cathedrals
3,3,DR2 Kids Theatre,Concerts & Shows Theaters
1,1,Kent Gallery,Shopping Museums
2,3,Molly Pitcher's Ale House,Food & Drink Breweries
1,4,Christ and St. Stephen's Episcopal Church,Sights & Landmarks Sacred & Religious Sites
1,4,Cosby House,Sights & Landmarks Points of Interest & Landmarks
1,4,Sokol Hall,Sights & Landmarks Architectural Buildings
2,3.5,Plymouth Theatre,Concerts & Shows Theaters
1,4,"Firehouse, Engine Company 33",Sights & Landmarks Government Buildings
2,2.5,Harlem Fire Watchtower,Sights & Landmarks Points of Interest & Landmarks
0,0,Joseph Helman,Shopping Museums
1,5,Luhring Augustine Gallery,Shopping Museums
0,0,Knoedler & Co.,Museums Shopping
0,0,Lawrence Rubin Greenberg Van Doren Fine Art,Museums Shopping
0,0,Leo Castelli,Shopping Museums
0,0,Michael Werner,Museums Shopping
0,0,Mitchell-Innes & Nash,Museums Shopping
0,0,Pace Wildenstein - 57th St,Shopping Museums
0,0,Peter Findlay,Museums Shopping
0,0,Rivington Arms,Shopping Museums
0,0,The Scene Gallery,Museums Shopping
0,0,Robert Miller,Museums Shopping
0,0,Sonnabend,Museums Shopping
0,0,Spanierman,Museums Shopping
0,0,Tanya Bonakdar Gallery,Museums Shopping
0,0,Wildenstein & Co.,Museums Shopping
0,0,Tibor De Nagy,Shopping Museums
0,0,Jean Cocteau Repertory,Concerts & Shows Theaters
0,0,Tony Shafrazi,Museums Shopping
0,0,Ontological-Hysteric Theater,Concerts & Shows Theaters
0,0,Paper Bag Players,Concerts & Shows Theaters
0,0,The Gates,Museums Specialty Museums
0,0,Illustration House,Museums Shopping
0,0,Fortunoff,Shopping Department Stores
0,0,The Promise Theatre,Concerts & Shows Theaters
0,0,Visionaire Gallery,Museums Shopping
0,0,One Gallery,Shopping Museums
0,0,Keszler Gallery,Museums Shopping
0,0,Michali Fine Art,Museums Shopping
0,0,Satva,Shopping Factory Outlets
0,0,Recess,Museums Shopping
0,0,play:groundNYC Junk Playground,Nature & Parks Fun & Games
0,0,Ronald Feldman Fine Arts,Shopping Museums
0,0,The Village Temple,Sights & Landmarks Sacred & Religious Sites
0,0,One Planet One Future,Shopping Museums
0,0,Corporal John A Seravalli Playground,Nature & Parks Fun & Games
0,0,Clockwork JiuJitsu,Outdoor Activities Classes & Workshops
0,0,Night Presence lV,Sights & Landmarks Monuments & Statues
0,0,Marian Goodman Gallery,Shopping Museums
0,0,Bermingham & Co. Antiques,Shopping Antique Stores
0,0,Italian National Tourist Board,Traveler Resources Visitor Centers
0,0,Marlborough Contemporary,Shopping Museums
0,0,Mslgroup,Sights & Landmarks Scenic Walking Areas
0,0,Ordovas,Shopping Museums
0,0,Galerie Eva Presenhuber,Museums Shopping
0,0,Freight + Volume,Shopping Museums
0,0,Westbeth Gallery,Shopping Museums
0,0,Ejaz Khan Earth,Shopping Museums
0,0,Pace Prints,Shopping Museums
0,0,Church Of St. Cyril,Sights & Landmarks Churches & Cathedrals
0,0,212 Arts,Shopping Museums
0,0,HoloCenter,Shopping Museums
0,0,The Church of the Resurrection,Sights & Landmarks Churches & Cathedrals
0,0,Arthouse.nyc,Shopping Museums
0,0,Edward Durell Stone House,Sights & Landmarks Architectural Buildings
0,0,Wonder Photo Shop,Sights & Landmarks Points of Interest & Landmarks
0,0,David Richard Gallery,Museums Shopping
0,0,New Amsterdam History Center,Museums History Museums
0,0,Peter Max Studios,Museums Shopping
0,0,Advent Lutheran Church,Sights & Landmarks Sacred & Religious Sites
1,5,The Petsos Collection,Shopping Museums
0,0,Spring Street,Shopping Museums
0,0,Museum of Candy,Museums Children's Museums
0,0,Babycastles,Shopping Museums
0,0,Nazmiyal Antique Rugs,Museums Shopping
0,0,Riverside Park,Sights & Landmarks Scenic Walking Areas
0,0,Chain Theatre,Concerts & Shows Theaters
0,0,Nora Gardner,Shopping Shopping Malls
0,0,Phillips,Museums Shopping
0,0,National Geographic Fine Art Galleries,Shopping Museums
0,0,BMT Canarsie Line,Transportation Mass Transportation Systems
0,0,Carre d'Artistes Art Gallery New York Bleecker,Museums Shopping
0,0,432 Park Avenue,Sights & Landmarks Points of Interest & Landmarks
0,0,Andrew Edlin Gallery,Museums Shopping
0,0,Artexpo New York,Shopping Museums
0,0,Carre d'Artistes Art Gallery New York Soho,Museums Shopping
1,0,Mother Teresa and Gandhi Mural,Shopping Museums
0,0,Perrotin New York,Shopping Museums
0,0,Throckmorton Fine Arts Inc,Museums Shopping
0,0,Henry Street Settlement,Museums History Museums
0,0,Zaz10ts,Museums Shopping
0,0,Wallplay Network,Museums Shopping
0,0,Nicole Klagsbrun Gallery,Museums Shopping
0,0,Reece Galleries,Shopping Museums
0,0,Jane Kahan Gallery,Shopping Museums
0,0,Taipei Gallery and Theater,Concerts & Shows Theaters
0,0,James Graham & Sons Gallery,Shopping Museums
0,0,John McEnroe Gallery,Shopping Museums
0,0,Richard York Gallery,Museums Shopping
0,0,Gorney Bravin + Lee,Museums Shopping
0,0,Curt Marcus Gallery,Museums Shopping
0,0,Henry Urbach Architecture,Museums Specialty Museums
0,0,Caren Golden Fine Art,Museums Shopping
0,0,Chinese Porcelain Company,Museums Shopping
0,0,Sandra Gering Gallery,Museums Shopping
0,0,David Beitzel Gallery,Shopping Museums
0,0,Rush Arts Gallery,Shopping Museums
0,0,Nancy Hoffman Gallery,Museums Shopping
0,0,ExtraVertical Climbing Center,Fun & Games Sports Complexes
0,0,General Theological Seminary,Sights & Landmarks Educational sites
0,0,J J Lally & Co. Oriental Art,Shopping Museums
0,0,Holly Solomon Gallery,Museums Shopping
0,0,303,Museums Shopping
0,0,ABC No Rio,Shopping Museums
0,0,Art in General,Shopping Museums
0,0,Casey Kaplan,Shopping Museums
0,0,David Finlay Galleries,Shopping Museums
0,0,Deitch Projects,Museums Shopping
0,0,Gale Gates Et Al,Shopping Museums
0,0,Gavine Brown's Enterprise,Museums Shopping
0,0,Jack Shainman Gallery,Museums Shopping
5,4,Pier 34,Sights & Landmarks Piers & Boardwalks
18,4.5,Anne Frank Center for Mutual Respect,Museums Specialty Museums
9,4.5,Austrian Cultural Forum New York,Sights & Landmarks Civic Centers
13,3.5,William Cullen Bryant Statue,Sights & Landmarks Monuments & Statues
13,3.5,26th Street Flea Market,Shopping Flea & Street Markets
21,3.5,Robert F. Kennedy Bridge,Sights & Landmarks Points of Interest & Landmarks
7,4,National Archives at New York City,Traveler Resources Libraries
26,4.5,Japan Society,Museums Specialty Museums
68,4.5,Westside Theatre,Concerts & Shows Theaters
46,4,Metropolitan Transportation Authority,Transportation Mass Transportation Systems
36,4.5,Heckscher Playground,Fun & Games Nature & Parks
24,4.5,The Kneeling Fireman,Sights & Landmarks Points of Interest & Landmarks
61,4,Zuccotti Park,Nature & Parks Sights & Landmarks
106,4,Cleopatra's Needle,Sights & Landmarks Monuments & Statues
79,4.5,Modell's,Shopping Department Stores
78,4.5,FDNY Memorial Wall,Sights & Landmarks Points of Interest & Landmarks
33,4.5,Arthur Ashe Stadium,Sights & Landmarks Arenas & Stadiums
59,4.5,Vivian Beaumont Theatre,Concerts & Shows Theaters
40,4.5,David H. Koch Theater,Concerts & Shows Theaters
81,4.5,Battery Park,Nature & Parks Gardens
96,4.5,St. Bartholomew's Church,Sights & Landmarks Sacred & Religious Sites
202,3.5,First Corinthian Baptist Church,Sights & Landmarks Churches & Cathedrals
43,4.5,Hearst Tower,Sights & Landmarks Points of Interest & Landmarks
42,4,Little Red Lighthouse,Sights & Landmarks Lighthouses
84,4.5,Alleva Dairy,Sights & Landmarks Points of Interest & Landmarks
40,5,Convent Avenue Baptist Church,Sights & Landmarks Churches & Cathedrals
130,4.5,Nederlander Theater,Concerts & Shows Theaters
197,4,International Center of Photography Museum,Museums Specialty Museums
120,4,New York City Hall,Sights & Landmarks Historic Sites
79,4.5,General Electric Building,Sights & Landmarks Architectural Buildings
121,4,Hope Sculpture,Sights & Landmarks Points of Interest & Landmarks
63,4,Winter Garden,Nature & Parks Gardens
73,4,Fulton Center,Sights & Landmarks Points of Interest & Landmarks
63,4.5,Greater Refuge Temple,Sights & Landmarks Churches & Cathedrals
138,4,August Wilson Theater,Concerts & Shows Theaters
211,4,Eugene O'Neill Theatre,Concerts & Shows Theaters
88,4,New York City Supreme Court,Sights & Landmarks Points of Interest & Landmarks
52,4.5,Temple Emanu-El,Sights & Landmarks Sacred & Religious Sites
90,4.5,The High Line Park,Nature & Parks Sights & Landmarks
86,4,Mahayana Buddhist Temple,Sights & Landmarks Sacred & Religious Sites
261,3.5,Manhattan Mall,Shopping Shopping Malls
63,4.5,Children's Museum of the Arts,Museums Children's Museums
